,Country,Country Code,Number of athletes,Gold medals,Silver medals,Bronze medals,Total medals,GDP,GDP per capita,Population,Life expectancy,Democracy,Gender equality,Continent,Female athletes %,log_GDP,log_GDPpc,log_Population
0,Afghanistan,AFG,6,0,0,0,0,14502158192.0904,352.603733092107,41128771.0,62.879,0.32,0.665,Asia,0.5,23.397563316131063,5.865344857236446,17.532218458894615
1,Albania,ALB,8,0,0,2,2,18916378860.5488,6810.11404104233,2777689.0,76.833,6.28,0.116,Europe,0.375,23.663293990103746,8.826164145118224,14.837129844985524
2,Algeria,DZA,45,2,0,1,3,225560256621.757,5023.25293164928,44903225.0,77.129,3.66,0.46,Africa,0.4,26.141853173594257,8.521832997180534,17.62002017641372
3,American Samoa,ASM,2,0,0,0,0,871000000.0,19673.3901023197,44273.0,,,,Oceania,0.5,20.58515253481678,9.887022245405124,10.698130289411653
4,Andorra,AND,2,0,0,0,0,3380602042.84283,42350.6970690874,79824.0,,,,Europe,0.5,21.94131964976427,10.653740159663451,11.287579490100818
5,Angola,AGO,24,0,0,0,0,104399746853.401,2933.48464381415,35588987.0,61.929,4.18,0.52,Africa,0.6666666667,25.37149308761616,7.983946293586285,17.387546794029877
6,Antigua and Barbuda,ATG,5,0,0,0,0,1867733333.33333,19919.7266867883,93763.0,79.236,,,North America,0.4,21.347991411387696,9.899465810501706,11.44852560088599
7,Argentina,ARG,136,1,1,1,3,631133384439.944,13650.6046294524,46234830.0,76.064,6.62,0.292,South America,0.2426470588,27.170783062949024,9.52153909483008,17.64924396811894
8,Armenia,ARM,15,0,3,1,4,19513474648.2429,7018.05150434798,2780469.0,73.372,5.42,0.198,Asia,0.1333333333,23.694371071482486,8.85624089500879,14.838130176473697
9,Aruba,ABW,6,0,0,0,0,3544707788.05664,33300.8388187011,106445.0,74.992,,,North America,0.3333333333,21.9887215642119,10.413337865402063,11.575383698809839
10,Australia,AUS,461,18,19,16,53,1692956646855.7,65077.676668821,26014399.0,83.2,8.66,0.063,Oceania,0.5553145336,28.157497611460297,11.08333686107712,17.07416075038318
11,Austria,AUT,78,2,0,3,5,470941926750.741,52084.6811953372,9041851.0,81.0926829268293,8.28,0.048,Europe,0.4615384615,26.878000625591906,10.86062615754616,16.017374468045748
12,Azerbaijan,AZE,48,2,2,3,7,78807470588.2353,7770.594223351,10141756.0,73.488,2.8,0.329,Asia,0.4166666667,25.09027363373582,8.958101917059256,16.132171716676563
13,Bahamas,BHS,18,0,0,0,0,13136400000.0,32041.2503902591,409984.0,74.358,,0.333,North America,0.4444444444,23.298652839862786,10.37477942633401,12.923873413528776
14,Bahrain,BHR,13,2,1,1,4,44383297872.3404,30146.925026365,1472233.0,79.246,2.52,0.181,Asia,0.5384615385,24.516129061566996,10.313838207778792,14.202290853788206
15,Bangladesh,BGD,5,0,0,0,0,460131688909.301,2687.89906307087,171186372.0,73.698,5.87,0.498,Asia,0.2,26.854778565696794,7.896515149997089,18.958263415699705
