,Country,Country Code,Number of athletes,Gold medals,Silver medals,Bronze medals,Total medals,GDP,GDP per capita,Population,Life expectancy,Democracy,Gender equality,Continent,Female athletes %,log_GDP,log_GDPpc,log_Population
1,Albania,ALB,8,0,0,2,2,18916378860.5488,6810.11404104233,2777689.0,76.833,6.28,0.116,Europe,0.375,23.663293990103746,8.826164145118224,14.837129844985524
2,Algeria,DZA,45,2,0,1,3,225560256621.757,5023.25293164928,44903225.0,77.129,3.66,0.46,Africa,0.4,26.141853173594257,8.521832997180534,17.62002017641372
7,Argentina,ARG,136,1,1,1,3,631133384439.944,13650.6046294524,46234830.0,76.064,6.62,0.292,South America,0.2426470588,27.170783062949024,9.52153909483008,17.64924396811894
8,Armenia,ARM,15,0,3,1,4,19513474648.2429,7018.05150434798,2780469.0,73.372,5.42,0.198,Asia,0.1333333333,23.694371071482486,8.85624089500879,14.838130176473697
10,Australia,AUS,461,18,19,16,53,1692956646855.7,65077.676668821,26014399.0,83.2,8.66,0.063,Oceania,0.5553145336,28.157497611460297,11.08333686107712,17.07416075038318
11,Austria,AUT,78,2,0,3,5,470941926750.741,52084.6811953372,9041851.0,81.0926829268293,8.28,0.048,Europe,0.4615384615,26.878000625591906,10.86062615754616,16.017374468045748
12,Azerbaijan,AZE,48,2,2,3,7,78807470588.2353,7770.594223351,10141756.0,73.488,2.8,0.329,Asia,0.4166666667,25.09027363373582,8.958101917059256,16.132171716676563
14,Bahrain,BHR,13,2,1,1,4,44383297872.3404,30146.925026365,1472233.0,79.246,2.52,0.181,Asia,0.5384615385,24.516129061566996,10.313838207778792,14.202290853788206
17,Belgium,BEL,165,3,1,6,10,583613982019.263,49942.0906424887,11685814.0,81.6975609756098,7.64,0.044,Europe,0.5151515152,27.092505611531596,10.818619426043007,16.273886185488593
24,Botswana,BWA,11,1,1,0,2,20321958850.0363,7726.11099664689,2630296.0,65.913,7.73,0.483,Africa,0.1818181818,23.734967855110714,8.952360909761248,14.782606945349466
25,Brazil,BRA,277,3,7,10,20,1951923942083.32,9065.49733395404,215313498.0,73.425,6.68,0.391,South America,0.5559566787,28.29983663906367,9.112230984778792,19.187605654284877
28,Bulgaria,BGR,46,3,1,3,7,90346169914.9349,13974.4492487792,6465097.0,74.3609756097561,6.41,0.206,Europe,0.5434782609,25.22691446144177,9.544985887499251,15.681928573942514
33,Canada,CAN,315,9,7,11,27,2161483369422.01,55509.393176404,38939056.0,81.2956097560976,8.69,0.069,North America,0.6095238095,28.40181584702589,10.92430753183566,17.47750831519023
34,Cape Verde,CPV,7,0,0,1,1,2303738020.15148,3883.91115917161,593149.0,74.722,7.65,0.325,Africa,0.4285714286,21.557798866783504,8.264597955609862,13.293200911173642
38,Chile,CHL,48,1,1,0,2,302116539409.03,15411.1739539112,19603733.0,79.519,7.98,0.19,South America,0.375,26.43407867196696,9.642848106717588,16.79123056524937
39,China,CHN,388,40,27,24,91,17881783387000.9,12662.5831692254,1412175000.0,78.587,2.12,0.186,Asia,0.662371134,30.5148036227023,9.446406716687424,21.068396906014875
40,Colombia,COL,87,0,3,1,4,345329875078.512,6657.08669677355,51874024.0,73.659,6.55,0.392,South America,0.5747126437,26.567765956796173,8.803437234915862,17.76432872188031
44,Croatia,HRV,73,2,2,3,7,71997070660.4835,18673.1779905036,3855641.0,77.5756097560976,6.5,0.087,Europe,0.2054794521,24.999891269863735,9.83484344114514,15.165047828718594
45,Cuba,CUB,61,2,1,6,9,,,11212191.0,78.155,2.65,0.3,North America,0.4426229508,,,16.232512226441017
46,Cyprus,CYP,16,0,1,0,1,29250532020.0746,32048.248046875,1251488.0,81.889,7.38,0.253,Europe,0.5625,24.099163599179363,10.374997797730709,14.039843801314188
47,Czech Republic,CZE,111,3,0,2,5,290565654835.809,27226.6156386023,10672118.0,79.0292682926829,7.97,0.113,Europe,0.4414414414,26.395095394022277,10.211950289974348,16.183145104047927
49,Denmark,DNK,124,2,2,5,9,400167196948.707,67790.0539923276,5903037.0,81.3048780487805,9.28,0.009,Europe,0.5403225806,26.715148289091687,11.124170766889181,15.590977522202506
51,Dominica,DMA,4,1,0,0,1,607159259.259259,8347.32336031537,72737.0,72.981,,,North America,0.5,20.224301685713062,9.029696210805103,11.19460547490796
52,Dominican Republic,DOM,58,1,0,2,3,113537368176.13,10111.2457110261,11228821.0,74.17,6.44,0.433,North America,0.4310344828,25.45539785471389,9.221403520153666,16.233994334560222
54,Ecuador,ECU,40,1,2,2,5,116586079000.0,6476.64457530137,18001000.0,77.894,5.41,0.371,South America,0.6,25.481895712654502,8.775957842781661,16.70593786987284
55,Egypt,EGY,148,1,1,1,3,476747720364.742,4295.40749561014,110990103.0,70.159,2.93,0.389,Africa,0.3513513514,26.890253299799863,8.365301706660599,18.524951593139264
61,Ethiopia,ETH,34,1,3,0,4,126772703047.701,1027.49863136325,123379924.0,65.645,3.37,0.494,Africa,0.5294117647,25.56566158012536,6.934882614362933,18.630778965762435
63,Fiji,FJI,33,0,1,0,1,4979979531.2725,5356.16438036291,929766.0,68.312,5.55,0.332,Oceania,0.4848484848,22.32869161778828,8.586003397221905,13.742688220566375
65,France,FRA,573,16,26,22,64,2779092236505.85,40886.2532680273,67971311.0,82.2292682926829,8.07,0.084,Europe,0.4921465969,28.65314545667639,10.618549179618437,18.034596277057954
68,Georgia,GEO,28,3,3,1,7,24984568959.605,6729.84659930283,3712502.0,71.587,5.2,0.283,Asia,0.25,23.941524229626783,8.814307628813294,15.127216600813485
69,Germany,DEU,428,12,13,8,33,4082469490797.68,48717.9911402128,83797985.0,80.7056097560976,8.8,0.071,Europe,0.4953271028,29.037723188596587,10.793803668779432,18.243919519817155
71,Great Britain,GBR,327,14,22,29,65,3088839763445.02,45564.1569448013,67791000.0,82.0585365853659,8.28,0.094,Europe,0.5321100917,28.758816655241773,10.726876654505164,18.03194000073661
72,Greece,GRC,100,1,1,6,8,217581324512.059,20867.2690861087,10426919.0,80.6365853658537,8.14,0.12,Europe,0.42,26.105838523392364,9.945937137944663,16.159901385447704
73,Grenada,GRD,6,0,0,2,2,1224577777.77778,9762.4147210397,125438.0,75.335,,,North America,0.3333333333,20.925861950328517,9.186295058748938,11.739566891579578
75,Guatemala,GTM,16,1,0,1,2,95003330315.8754,5473.20856444589,17357886.0,68.674,4.47,0.474,North America,0.375,25.27717778388909,8.607620298301239,16.669557485587852
81,Hong Kong,HKG,36,2,0,2,4,358696261481.16,48828.1212454445,7346100.0,83.6609756097561,5.24,,Asia,0.5,26.605741799019295,10.796061680899667,15.809680118119626
82,Hungary,HUN,170,6,7,6,19,177006128624.627,18355.8278072065,9643048.0,76.0170731707317,6.72,0.23,Europe,0.5058823529,25.899450193918703,9.817702394734535,16.081747799184168
84,India,IND,117,0,1,5,6,3353470496885.95,2366.30960899931,1417173173.0,67.744,7.18,0.437,Asia,0.3846153846,28.841016894739422,7.769086893542448,21.07193000119697
85,Indonesia,IDN,29,2,0,1,3,1319076267310.16,4787.91236404903,275501339.0,68.25,6.53,0.439,Asia,0.4482758621,27.907952810061964,8.473849763262452,19.434103046799518
86,Iran,IRN,41,3,6,3,12,413394567603.552,4668.45744305826,88550570.0,74.556,1.96,0.484,Asia,0.2682926829,26.747668343332585,8.448583984118965,18.29908435921362
88,Ireland,IRL,134,4,0,3,7,533140011838.276,103983.29133582,5127170.0,83.0560975609756,9.19,0.072,Europe,0.4776119403,27.002049912991982,11.551985504983772,15.450064408008211
89,Israel,ISR,88,1,5,1,7,525002447652.773,54930.9388075096,9557500.0,82.7,7.8,0.092,Asia,0.3863636364,26.986668761722925,10.91383201717022,16.072836744552706
90,Italy,ITA,402,12,13,15,40,2066972096553.7,35068.8359738449,58940425.0,82.9,7.69,0.057,Europe,0.4825870647,28.357105897046832,10.465068151076242,17.892037745970594
91,Ivory Coast,CIV,11,0,0,1,1,70173140101.4315,2491.89593372995,28160542.0,58.916,4.22,0.612,Africa,0.6363636364,24.97423145512288,7.820799118894895,17.153432336227983
92,Jamaica,JAM,58,1,3,2,6,17097760686.7775,6047.2164436428,2827377.0,70.629,7.06,0.35,North America,0.5,23.56221333789018,8.707353353190237,14.854859984699942
93,Japan,JPN,403,20,12,13,45,4256410760723.75,34017.2718075024,125124989.0,83.9963414634146,8.4,0.078,Asia,0.4739454094,29.07944737663873,10.434623668951161,18.644823707687568
94,Jordan,JOR,12,0,1,0,1,48653381830.9859,4311.0000506816,11285869.0,74.215,3.04,0.449,Asia,0.25,24.607987156646256,8.368925186503478,16.239061970142775
95,Kazakhstan,KAZ,79,1,3,3,7,225496328925.494,11484.4168149009,19634983.0,74.44,3.08,0.177,Asia,0.3291139241,26.141569716047066,9.348746335854058,16.792823380193006
96,Kenya,KEN,72,4,2,5,11,113419826113.903,2099.29856841025,54027487.0,62.055,5.05,0.533,Africa,0.4722222222,25.45436204641441,7.649358552873327,17.805003493541086
98,Kosovo,KOS,9,0,1,1,2,,,,,,,,0.7777777778,,,
100,Kyrgyzstan,KGZ,16,0,2,4,6,12134931017.9465,1739.79999970559,6974900.0,72.0487804878049,3.7,0.345,Asia,0.3125,23.219353991555586,7.46152544290422,15.757828548651366
108,Lithuania,LTU,51,0,2,2,4,71013953448.2085,25078.7453655669,2831639.0,75.7926829268293,7.31,0.098,Europe,0.4705882353,24.986142222118296,10.129775968199175,14.85636625391912
112,Malaysia,MYS,26,0,0,2,2,407027451714.616,11993.1876132994,33938221.0,76.26,7.29,0.202,Asia,0.5,26.73214646904469,9.392094068676393,17.3400524003683
119,Mexico,MEX,107,0,3,2,5,1463323889036.56,11476.6788057764,127504125.0,74.832,5.14,0.352,North America,0.5794392523,28.011731600365344,9.34807232538476,18.663659274980585
120,Moldova,MDA,26,0,1,3,4,14510490660.2516,5715.28022054154,2538894.0,68.621,6.23,0.156,Europe,0.4615384615,23.398137718587915,8.65089860749257,14.747239111095345
122,Mongolia,MNG,32,0,1,0,1,17146471713.748,5045.50472602069,3398366.0,72.667,6.48,0.297,Asia,0.5625,23.565058258416048,8.526252972584492,15.038805285831558
124,Morocco,MAR,59,1,0,1,2,130912558829.84,3441.99145507813,37457971.0,74.973,5.04,0.44,Africa,0.3050847458,25.59779544742848,8.143805494222828,17.4387300890712
130,Netherlands,NLD,273,15,7,12,34,1009398719033.08,57025.01245598,17700982.0,81.7146341463415,9.0,0.025,Europe,0.5970695971,27.640375941813804,10.951245265582727,16.689130676231077
131,New Zealand,NZL,195,10,7,3,20,246733522841.353,48216.5095836302,5117200.0,82.7609756097561,9.61,0.082,Oceania,0.4974358974,26.23157473629823,10.783456763873213,15.448117972425017
135,North Korea,PRK,16,0,2,4,6,,,26069416.0,73.578,1.08,,Asia,0.75,,,17.07627338443131
137,Norway,NOR,107,4,1,3,8,593726965415.619,108798.451165901,5457127.0,82.5609756097561,9.81,0.012,Europe,0.476635514,27.10968539645323,11.597252377695124,15.512433018758106
139,Pakistan,PAK,7,1,0,0,1,374787958882.308,1589.26398049714,235824862.0,66.431,3.25,0.522,Asia,0.4285714286,26.64962626001314,7.37102628269281,19.278599977320333
